,Tp,M,Name,Num_obs,Synodic_period,Perturbers_2,Ref,NEO_flag,Perturbers,Perihelion_dist,Aphelion_dist,Computer,Node,H,rms,Number,n,Num_opps,One_km_NEO_flag,Orbital_period,Peri,G,Principal_desig,e,Epoch,Arc_years,Semilatus_rectum,i,U,a,Last_obs,Hex_flags,PHA_flag,Critical_list_numbered_object_flag,Arc_length,One_opposition_object_flag
30,2457168.248,71.37942,Oljato,817,1.4531166,3Eh,MPO344315,1,M-v,0.6238593,3.7254837,MPCW,75.00966,15.25,0.53,-2201,0.30733611,24,1,3.2069375,98.22868,0.15,1947 XC,0.7131248,2457400.5,1931-2015,0.5343744,2.52239,0,2.1746715,8/18/15,9803,1,NA,NA,NA
31,2456817.178,165.85855,Pele,139,1.4054545,38h,MPO337265,1,M-v,1.1166628,3.464191,MPCLINUX,169.98438,17.2,0.62,-2202,0.28433441,10,1,3.4663679,217.9284,0.15,1972 RA,0.5124652,2457400.5,1972-2015,0.8444568,8.74515,0,2.2904269,4/10/15,1804,NA,NA,NA,NA
32,2457683.49,272.0813,Hephaistos,2110,1.4603123,3Eh,MPO370989,1,M-h,0.3506808,3.9674132,MPCLINUX,27.56885,13.87,0.43,-2212,0.31067831,30,1,3.172438,209.3349,0.15,1978 SB,0.8375761,2457400.5,1978-2015,0.3222014,11.55824,0,2.159047,12/20/15,1803,NA,NA,NA,NA
33,2457996.31,202.92455,Orthos,430,1.3651562,3Eh,MPO370990,1,M-h,0.8311479,3.9864711,MPCLINUX,169.32179,14.5,0.53,-2329,0.26363338,19,1,3.7385542,146.02984,0.15,1976 WA,0.6549549,2457400.5,1976-2015,0.6877562,24.4667,1,2.4088095,12/13/15,1803,NA,NA,NA,NA
34,2457444.136,304.52515,Hathor,321,3.449624,3Eh,MPO365273,1,M-h,0.4642529,1.2235781,MPCLINUX,211.44129,20.2,0.62,-2340,1.27132214,7,NA,0.7752619,39.98199,0.15,1976 UA,0.4498822,2457400.5,1976-2014,0.336556,5.85602,2,0.8439155,12/6/14,C802,1,1,NA,NA
35,2457877.428,206.23886,Beltrovata,701,1.4861209,38h,MPO365273,1,M-v,1.2363408,2.9764502,MPCLINUX,287.44797,15.21,0.59,-2368,0.32239937,20,1,3.0571016,42.87153,0.15,1977 RA,0.4130538,2457400.5,1977-2016,0.8735081,5.22492,1,2.1063955,2/19/16,1804,NA,NA,NA,NA
36,2458028.394,204.93716,Seneca,50,1.3343356,3Eh,MPO181515,1,M-h,1.0785089,3.9536183,MPCLINUX,167.37328,17.52,1.01,-2608,0.24695717,6,1,3.9910064,37.31507,0.15,1978 DA,0.5713507,2457400.5,1978-2010,0.8473579,14.68207,1,2.5160636,8/19/10,5804,NA,1,NA,NA
37,2457522.628,321.83531,Krok,665,1.4642612,38h,MPO337275,1,M-v,1.1839836,3.1173268,MPCLINUX,172.08798,16.2,0.54,-3102,0.31249847,17,1,3.15396,154.7936,0.15,1981 QA,0.4494777,2457400.5,1981-2015,0.8580789,8.44389,0,2.1506552,4/10/15,1804,NA,NA,NA,NA
38,2457656.119,208.62221,Eger,2123,2.5053164,3Eh,MPO319122,1,M-h,0.9067271,1.9020667,MPCLINUX,129.7921,15.38,0.43,-3103,0.59220117,15,1,1.6643122,254.00718,0.15,1982 BB,0.3543655,2457400.5,1982-2014,0.6140199,20.93107,0,1.4043969,7/10/14,1803,NA,NA,NA,NA
39,2457161.508,100.14583,Florence,1581,1.7395931,3Eh,MPO370998,1,M-h,1.0209657,2.5162907,MPCLINUX,336.12126,14.1,0.43,-3122,0.41903398,23,1,2.3520948,27.72287,0.15,1981 ET3,0.4227358,2457400.5,1979-2015,0.7262823,22.16219,1,1.7686282,12/18/15,9804,1,NA,NA,NA
40,2457555.589,282.6243,Nefertiti,1400,2.0251006,3Eh,MPO365284,1,M-v,1.1271891,2.0216471,MPCW,340.02295,14.84,0.55,-3199,0.49891201,20,1,1.975514,53.36942,0.15,1982 RA,0.2840599,2457400.5,1982-2015,0.7236891,32.96959,0,1.5744181,5/4/15,1804,NA,NA,NA,NA
41,2457620.321,208.83334,Phaethon,3132,3.3082055,3Eh,MPO370999,1,M-v,0.13999,2.402399,MPCW,265.25513,14.6,0.48,-3200,0.6876795,30,1,1.433237,322.1491,0.15,1983 TB,0.8898752,2457400.5,1983-2015,0.1322819,22.24287,0,1.2711945,12/17/15,9803,1,NA,NA,NA
42,2457434.053,349.14296,Ul,150,1.4887624,38h,MPO337277,1,M-v,1.2692519,2.9333193,MPCLINUX,158.84383,16.6,0.52,-3271,0.3235761,13,1,3.0459841,159.11076,0.15,1982 RB,0.3959641,2457400.5,1982-2015,0.8859151,25.07495,1,2.1012856,4/20/15,1804,NA,NA,NA,NA
43,2457773.569,233.13535,Seleucus,1401,1.5267702,38h,MPO371000,1,M-v,1.1054358,2.9602298,MPCLINUX,218.65574,15.3,0.49,-3288,0.34005691,22,1,2.8983611,349.28844,0.15,1982 DV,0.4562092,2457400.5,1982-2015,0.8048729,5.93011,0,2.0328328,12/14/15,1804,NA,NA,NA,NA
44,2457809.484,203.48481,McAuliffe,916,1.634738,38h,MPO275469,1,M-v,1.1854952,2.5722942,MPCLINUX,107.38289,15.8,0.49,-3352,0.3826929,19,1,2.5754532,15.9215,0.15,1981 CW,0.3690465,2457400.5,1981-2013,0.811499,4.77283,0,1.8788947,11/1/13,1804,NA,NA,NA,NA
45,2457576.039,315.34904,Syrinx,340,1.3478538,3Eh,MPO365286,1,M-h,0.6279149,4.3060271,MPCLINUX,242.56059,15.9,0.49,-3360,0.25436539,11,1,3.8747712,63.45713,0.15,1981 VA,0.7454713,2457400.5,1981-2016,0.5480037,21.15431,1,2.466971,1/25/16,1803,NA,NA,NA,NA
46,2457163.581,175.49187,Orpheus,620,4.024821,3Eh,MPO298984,1,M-h,0.8192324,1.6002804,MPCLINUX,189.40138,19.03,0.53,-3361,0.7407253,14,NA,1.3305981,301.76777,0.15,1982 HR,0.3228121,2457400.5,1982-2014,0.5418453,2.68456,1,1.2097564,6/27/14,8803,1,NA,NA,NA
47,2457364.789,35.75877,Khufu,251,62.6957647,3Eh,MPO 73856,1,M-v,0.525891,1.453121,MPCW,152.45246,18.3,0.68,-3362,1.00132812,18,NA,0.9843004,55.03499,0.15,1984 QA,0.4685318,2457400.5,1984-2004,0.3861438,9.9173,3,0.989506,11/27/04,C802,1,1,NA,NA
48,2457765.495,241.12133,Verenia,310,1.4935521,3Eh,MPO337280,1,M-h,1.0717858,3.1125024,MPCLINUX,173.83983,16.75,0.72,-3551,0.3256992,16,1,3.0261287,193.24115,0.15,1983 RD,0.4877094,2457400.5,1983-2015,0.7972529,9.51542,0,2.0921441,4/11/15,1804,NA,NA,NA,NA
49,2458245.016,264.552,Don Quixote,627,1.129524,38h,MPO365288,1,M-v,1.2203745,7.2530743,MPCLINUX,350.01714,12.9,0.51,-3552,0.1130209,16,1,8.720579,316.89918,0.15,1983 SA,0.7119533,2457400.5,1983-2016,1.0446121,31.20975,0,4.2367244,2/14/16,1804,NA,NA,NA,NA
50,2457669.766,234.16523,Mera,680,1.90168,38h,MPO347550,1,M-v,1.1180552,2.1711174,MPCLINUX,232.5374,16.4,0.48,-3553,0.46732504,15,1,2.1090409,288.89282,0.15,1985 JA,0.3201602,2457400.5,1985-2015,0.738006,36.76987,0,1.6445863,9/25/15,1804,NA,NA,NA,NA
51,2457571.304,184.7811,Amun,1602,24.4930852,3Eh,MPO365288,1,M-h,0.7005784,1.2467718,MPCLINUX,358.62657,15.82,0.39,-3554,1.02584792,20,1,0.9607737,359.39217,0.15,1986 EB,0.2804803,2457400.5,1986-2016,0.4485384,23.36257,1,0.9736751,1/29/16,1802,NA,NA,NA,NA
52,2457782.91,244.40808,Dionysus,476,1.4423485,3Eh,MPO365290,1,M-h,1.0082554,3.3895272,MPCLINUX,82.13197,16.5,0.59,-3671,0.30227236,13,1,3.2606609,204.21734,0.15,1984 KD,0.541471,2457400.5,1984-2016,0.7770983,13.53471,0,2.1988913,2/14/16,9804,1,NA,NA,NA
53,2457182.673,90.82957,Bede,1669,1.7333121,38h,MPO365290,1,M-v,1.2703289,2.2785289,MPCLINUX,348.76869,14.7,0.41,-3691,0.41698092,20,1,2.3636758,234.89813,0.15,1982 FT,0.2840914,2457400.5,1975-2015,0.8156092,20.3615,0,1.7744289,8/5/15,1804,NA,NA,NA,NA
54,2457516.439,291.99834,Camillo,997,2.4697192,3Eh,MPO371005,1,M-h,0.9870249,1.8398427,MPCLINUX,147.97856,15.3,0.44,-3752,0.58653086,17,1,1.6804021,312.22209,0.15,1985 PA,0.301683,2457400.5,1976-2015,0.6423967,55.55973,1,1.4134338,9/21/15,1803,NA,NA,NA,NA
55,2457376.166,24.06674,Cruithne,582,289.7546854,3Eh,MPO371005,1,M-h,0.483977,1.5114346,MPCLINUX,126.24113,15.6,0.55,-3753,0.9890092,33,1,0.9965607,43.81697,0.15,1986 TO,0.5149101,2457400.5,1973-2015,0.3665908,19.80711,3,0.9977058,10/11/15,5802,NA,1,NA,NA
56,2457136.743,104.61782,Anagolay,150,1.673461,3Eh,MPO302085,1,M-v,1.0170563,2.6520933,MPCW,74.97328,18.95,0.88,-3757,0.39664406,7,NA,2.4848669,17.16752,0.15,1982 XB,0.4456174,2457400.5,1982-2014,0.7351372,3.86822,0,1.8345748,7/30/14,8804,1,NA,NA,NA
57,2457480.233,317.43569,Epona,599,2.1816397,3Eh,MPO371006,1,M-h,0.4481307,2.5618379,MPCLINUX,235.5101,15.6,0.52,-3838,0.53383386,20,1,1.8462817,49.68482,0.15,1986 WA,0.7022356,2457400.5,1986-2015,0.3814121,29.20549,1,1.5049843,11/29/15,1803,NA,NA,NA,NA
58,2457217.581,67.34622,Nyx,1555,1.5963016,3Eh,MPO371007,1,M-h,1.0437181,2.8122133,MPCLINUX,261.45418,17.3,0.51,-3908,0.36817569,13,1,2.6770036,126.33098,0.15,1980 PA,0.4586428,2457400.5,1980-2015,0.761206,2.18187,0,1.9279657,11/23/15,1804,NA,NA,NA,NA
59,2457180.051,113.21033,Huma,464,2.0878678,3Eh,MPO371008,1,M-h,1.0551176,2.0336216,MPCLINUX,229.84168,17.9,0.49,-3988,0.51354346,13,1,1.9192293,86.86887,0.15,1986 LA,0.3167972,2457400.5,1986-2015,0.694688,10.7664,0,1.5443696,12/18/15,1804,NA,NA,NA,NA
